zone_id,zone_id,households,residential_units,population,res_price1,res_price2,avg_hh_income,hh_inc1,hh_inc2,hh_inc3,hh_inc4,jobs,jobs1,jobs2,jobs3,jobs4,jobs5,jobs6,jobs7,jobs8,jobs9,jobs10,job_spaces,non_residential_sqft,nonres_price3,nonres_price4,nonres_price5,COUNTY
2859,2859,23.0,24.0,71.0,27.13084594845439,54.79422331095862,60068.0,4.0,6.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,400.0,0.0,0.0,0.0,4
141,141,133.0,151.0,369.0,65.65954303470127,74.40792858108655,59775.57895,38.0,24.0,41.0,30.0,925.0,1.0,0.0,178.0,0.0,725.0,3.0,18.0,0.0,0.0,0.0,988.0,904216.0,5.194476739429976,112.79581745771416,121.4251984433802,1
2865,2865,29.0,30.0,102.0,32.02088315101525,60.141137181706284,57396.0,2.0,10.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,44850.0,6.040000362139797,0.0,0.0,4
1914,1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2860,2860,1.0,1.0,2.0,38.966666873480634,0.0,51914.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1950.0,5.904947556882792,0.0,0.0,4
1714,1714,370.0,398.0,863.0,46.54953297167955,81.36382740994257,51464.0,72.0,124.0,116.0,58.0,475.0,90.0,0.0,55.0,27.0,8.0,102.0,122.0,0.0,42.0,29.0,648.0,321447.0,5.904647113244303,154.48687219123516,201.2230880736453,3
2870,2870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
1413,1413,1900.0,2048.0,7376.0,43.63461303951598,65.86849927004297,76847.38871999999,108.0,335.0,829.0,628.0,371.0,89.0,0.0,116.0,50.0,1.0,6.0,89.0,0.0,9.0,11.0,520.0,242553.0,8.0312279902705,227.4487564152839,175.76759832255968,3
912,912,1620.0,1681.0,5225.0,36.83871192505439,59.539448489531864,34743.0,715.0,510.0,287.0,108.0,516.0,21.0,0.0,314.0,16.0,12.0,28.0,67.0,0.0,40.0,18.0,588.0,245794.0,6.167063744901843,146.5461227504607,130.31488981355673,3
1423,1423,1667.0,1689.0,6104.0,38.82220100245079,71.07250262490983,63315.0,128.0,446.0,894.0,199.0,95.0,28.0,0.0,10.0,18.0,0.0,2.0,18.0,0.0,2.0,17.0,153.0,99292.0,5.873124809229377,164.0083230881457,0.0,3
2866,2866,19.0,20.0,65.0,35.06369365627637,0.0,57396.0,1.0,7.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
196,196,1203.0,1428.0,3236.0,77.04558565604768,62.9547163066917,63797.19457000001,238.0,254.0,472.0,239.0,667.0,40.0,0.0,256.0,149.0,2.0,0.0,207.0,0.0,13.0,0.0,832.0,381797.0,5.131707467261972,163.32499627705883,152.0355833951349,1
